ofi_insc;prov_insc;cant_insc;parr_insc;anio_insc;mes_insc;dia_insc;fecha_insc;anio_div;mes_div;dia_div;fecha_div;anio_mat;mes_mat;dia_mat;fecha_mat;mcapbie;dur_mat;cau_div;nac_hom;cod_paish;anio_nach;mes_nach;dia_nach;fecha_nach;edad_hom;hijos_hom;p_etnica_hom;sabe_leerh;niv_insth;prov_habh;cant_habh;parr_habh;area_hom;nac_muj;cod_paism;anio_nacm;mes_nacm;dia_nacm;fecha_nacm;edad_muj;hijos_muj;p_etnica_muj;sabe_leerm;niv_instm;prov_habm;cant_habm;parr_habm;area_muj
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Julio;4;07/04/2016;2014;Abril;15;4/15/2014;2007;Agosto;16;8/16/2007;Se ignora;8;1;Ecuatoriano;EC;1987;12;22;12/22/1987;28;0;Mestizo;Si;Secundaria;Loja;Macara;Macara, cabecera cantonal;Urbana;Ecuatoriana;EC;1990;8;3;08/03/1990;25;2;Mestiza;Si;Secundaria;Loja;Macara;Macara, cabecera cantonal;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;29;1/29/2016;2014;Febrero;28;2/28/2014;1991;Octubre;1;10/01/1991;No;24;1;Ecuatoriano;EC;1968;3;28;3/28/1968;47;0;Mestizo;Si;Superior;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1971;10;11;10/11/1971;44;2;Mestiza;Si;Secundaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Julio;7;07/07/2016;2014;Febrero;26;2/26/2014;2002;Diciembre;18;12/18/2002;No;13;1;Ecuatoriano;EC;1981;5;27;5/27/1981;35;0;Mestizo;Si;Ciclo posbachillerato;Loja;Loja;San Sebastian;Urbana;Ecuatoriana;EC;1984;11;7;11/07/1984;31;2;Mestiza;Si;Secundaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Marzo;15;3/15/2016;2014;Julio;8;07/08/2014;1974;Noviembre;23;11/23/1974;No;41;10;Ecuatoriano;EC;1951;8;14;8/14/1951;64;0;Mestizo;Si;Secundaria;Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Colorados, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1950;9;12;09/12/1950;65;0;Mestiza;Si;Primaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Marzo;17;3/17/2016;2014;Mayo;27;5/27/2014;1990;Agosto;1;08/01/1990;No;25;2;Ecuatoriano;EC;1964;10;3;10/03/1964;51;0;Mestizo;Si;Superior;Loja;Loja;San Sebastian;Urbana;Ecuatoriana;EC;1964;7;10;07/10/1964;51;2;Mestiza;Si;Superior;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Noviembre;22;11/22/2016;2014;Noviembre;7;11/07/2014;2001;Marzo;16;3/16/2001;No;15;1;Ecuatoriano;EC;1973;8;5;08/05/1973;43;0;Mestizo;Si;Secundaria;Loja;Loja;El Sagrario;Urbana;Ecuatoriana;EC;1981;10;4;10/04/1981;35;1;Mestiza;Si;Primaria;Loja;Loja;El Sagrario;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Noviembre;9;11/09/2016;2014;Noviembre;7;11/07/2014;2012;Marzo;30;3/30/2012;No;4;1;Ecuatoriano;EC;1955;8;29;8/29/1955;61;0;Mestizo;Si;Secundaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1956;10;25;10/25/1956;60;1;Mestiza;Si;Superior;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;3;02/03/2016;2014;Octubre;21;10/21/2014;2010;Febrero;25;2/25/2010;No;5;10;Ecuatoriano;EC;1979;3;1;03/01/1979;36;0;Mestizo;Si;Superior;Loja;Catamayo;Catamayo;Urbana;Ecuatoriana;EC;1986;9;22;9/22/1986;29;0;Mestiza;Si;Secundaria;Loja;Loja;San Sebastian;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;6;01/06/2016;2014;Septiembre;15;9/15/2014;2000;Abril;27;4/27/2000;Se ignora;15;1;Ecuatoriano;EC;1972;12;17;12/17/1972;43;0;Mestizo;Si;Primaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1970;1;21;1/21/1970;45;1;Mestiza;Si;Superior;Loja;Loja;San Pedro de Vilcabamba;Rural
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Septiembre;22;9/22/2016;2014;Septiembre;19;9/19/2014;2009;Julio;1;07/01/2009;No;7;10;Ecuatoriano;EC;1985;12;23;12/23/1985;30;0;Mestizo;Si;Primaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1983;6;20;6/20/1983;33;0;Mestiza;Si;Secundaria;Loja;Catamayo;San Jose;Urbana
